robots,centrality,RobotOffset,steps,xxxp,1000p,2500p,5000p,37351p,1000c,2500c,5000c,37351c
3,"""betweenness-centrality""",0,19130.705,0.0,6.42514124293786,8.69209039548023,6.1497175141243,0.113700564971751,13.0966666666667,11.2616666666667,6.62166666666667,2.02333333333333
3,"""random""",0,68950.1116666667,1.79378531073447,7.92090395480226,11.7401129943503,10.1539548022599,2.85310734463277,13.1583333333333,11.2233333333333,6.75166666666667,2.50833333333333
3,"""betweenness-centrality""",25,43312.4783333333,0.420197740112995,7.34392655367232,10.5289548022599,8.30579096045197,1.67090395480226,13.1983333333333,11.1933333333333,6.61833333333333,2.28666666666667
3,"""random""",25,68359.925,1.94420903954802,7.86581920903955,11.5261299435028,10.1158192090395,3.07344632768362,13.2166666666667,11.2016666666667,6.75166666666667,2.52166666666667
3,"""betweenness-centrality""",50,64799.9933333333,1.68997175141243,8.0473163841808,11.4392655367232,9.22245762711865,2.92302259887006,13.2783333333333,11.2933333333333,6.685,2.445
3,"""random""",50,66381.06,2.48305084745763,7.86581920903954,11.9661016949152,10.7351694915254,3.60381355932204,13.2516666666667,11.3416666666667,6.76833333333333,2.47333333333333
3,"""betweenness-centrality""",75,85061.1733333333,4.33121468926554,8.48587570621468,13.3502824858757,12.502824858757,4.93149717514124,13.2566666666667,11.2583333333333,6.68333333333333,2.65333333333333
3,"""random""",75,65809.5783333333,1.86158192090396,7.79237288135593,11.8721751412429,9.7662429378531,2.85098870056497,13.2516666666667,11.295,6.65166666666667,2.47833333333333
6,"""betweenness-centrality""",0,86055.4183333333,16.8757062146893,13.0805084745763,20.4915254237288,23.3877118644068,16.9258474576271,13.25,11.4033333333333,7.14166666666667,2.65333333333333
6,"""random""",0,67709.6166666667,40.6144067796611,15.3658192090395,26.5967514124294,39.4180790960452,40.6257062146894,13.31,11.3166666666667,6.715,2.58666666666667
6,"""betweenness-centrality""",25,82534.055,24.3912429378531,14.0783898305085,22.6603107344633,28.284604519774,24.6829096045198,13.3183333333333,11.385,7.10333333333333,2.69666666666667
6,"""random""",25,69161.3183333333,39.4470338983051,15.4159604519774,26.0875706214689,37.7718926553672,39.2478813559323,13.2833333333333,11.235,6.67333333333333,2.60166666666667
6,"""betweenness-centrality""",50,65973.7033333333,42.8227401129945,15.5183615819209,27.0981638418079,38.6122881355933,42.9223163841809,13.2933333333333,11.1966666666667,6.72833333333333,2.58
