"BehaviorSpace results (NetLogo 5.3.1)"
"MyNamingGame.nlogo"
"experiment"
"09/02/2016 18:26:08:034 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","centrality","Robots?","[step]","stat_1000_robot_percent","stat_1000_remaining_colors","stat_2500_robot_percent","stat_2500_remaining_colors","stat_5000_robot_percent","stat_5000_remaining_colors","stat_gen_robot_percent"
"115","""random""","2","54903","23.529411764705884","7","20.58823529411765","2","17.647058823529413","2","100"
"123","""random""","2","4690","23.529411764705884","5","2.9411764705882355","3","0","1","0"
"122","""random""","2","10466","29.41176470588235","5","17.647058823529413","3","14.705882352941176","2","0"
"114","""random""","2","66367","8.823529411764707","5","23.529411764705884","3","41.1764705882353","3","0"
"125","""random""","2","7640","2.9411764705882355","4","5.882352941176471","5","73.52941176470588","4","100"
"126","""random""","2","9339","32.35294117647059","7","82.3529411764706","2","91.17647058823529","3","100"
"128","""random""","2","2098","8.823529411764707","6","0","1","0","1","0"
"124","""random""","2","20209","5.882352941176471","6","8.823529411764707","5","8.823529411764707","5","0"
"130","""random""","2","5325","29.41176470588235","4","11.764705882352942","3","5.882352941176471","2","0"
"127","""random""","2","15209","5.882352941176471","7","5.882352941176471","4","5.882352941176471","4","0"
"131","""random""","2","9430","5.882352941176471","5","5.882352941176471","4","17.647058823529413","3","0"
"129","""random""","2","17024","14.705882352941176","5","14.705882352941176","4","17.647058823529413","3","100"
"133","""random""","2","2435","41.1764705882353","7","100","1","100","1","100"
"132","""random""","2","10355","11.764705882352942","8","52.94117647058823","5","52.94117647058823","3","100"
"134","""random""","2","13219","5.882352941176471","5","8.823529411764707","4","8.823529411764707","4","0"
"135","""random""","2","13838","17.647058823529413","8","26.470588235294116","4","11.764705882352942","4","100"
"136","""random""","2","13772","8.823529411764707","6","11.764705882352942","3","5.882352941176471","2","0"
"137","""random""","2","6480","20.58823529411765","6","23.529411764705884","5","2.9411764705882355","2","0"
"139","""random""","2","3831","14.705882352941176","5","8.823529411764707","3","0","1","0"
"138","""random""","2","8111","8.823529411764707","5","17.647058823529413","4","11.764705882352942","3","0"
"140","""random""","2","4105","11.764705882352942","5","2.9411764705882355","2","0","1","0"
"143","""random""","2","9957","29.41176470588235","6","32.35294117647059","4","23.529411764705884","3","100"
"141","""random""","2","25243","26.470588235294116","6","2.9411764705882355","3","5.882352941176471","3","0"
"144","""random""","2","13091","11.764705882352942","5","11.764705882352942","4","5.882352941176471","4","0"
"121","""random""","2","100588","11.764705882352942","4","8.823529411764707","4","5.882352941176471","3","100"
"146","""random""","2","5055","11.764705882352942","6","11.764705882352942","3","5.882352941176471","2","0"
"148","""random""","2","7971","47.05882352941177","5","82.3529411764706","3","85.29411764705883","3","100"
"147","""random""","2","10498","2.9411764705882355","5","38.23529411764706","4","35.294117647058826","4","0"
"149","""random""","2","10143","5.882352941176471","4","5.882352941176471","3","17.647058823529413","3","0"
"142","""random""","2","53242","14.705882352941176","4","11.764705882352942","3","5.882352941176471","4","0"
"145","""random""","2","27935","14.705882352941176","5","5.882352941176471","4","47.05882352941177","3","100"
"151","""random""","2","13957","5.882352941176471","4","5.882352941176471","3","5.882352941176471","2","100"
"154","""random""","2","5841","11.764705882352942","6","20.58823529411765","4","29.41176470588235","2","0"
"152","""random""","2","17990","11.764705882352942","4","17.647058823529413","3","2.9411764705882355","2","0"
"153","""random""","2","15910","11.764705882352942","6","0","2","5.882352941176471","4","0"
"157","""random""","2","5894","17.647058823529413","7","17.647058823529413","3","11.764705882352942","3","0"
"156","""random""","2","9898","2.9411764705882355","6","55.88235294117647","5","85.29411764705883","2","100"
"158","""random""","2","15118","23.529411764705884","5","35.294117647058826","4","50","3","0"
"159","""random""","2","17366","5.882352941176471","6","5.882352941176471","4","5.882352941176471","2","0"
"155","""random""","2","35484","5.882352941176471","6","8.823529411764707","5","29.41176470588235","4","100"
"160","""random""","2","13780","14.705882352941176","5","8.823529411764707","3","2.9411764705882355","2","0"
"150","""random""","2","64560","5.882352941176471","4","5.882352941176471","4","5.882352941176471","2","0"
"161","""random""","2","10385","17.647058823529413","6","20.58823529411765","3","32.35294117647059","4","100"
"164","""random""","2","3793","8.823529411764707","4","23.529411764705884","3","0","1","0"
"163","""random""","2","6707","20.58823529411765","6","38.23529411764706","4","61.76470588235294","2","100"
"162","""random""","2","10040","8.823529411764707","5","20.58823529411765","3","17.647058823529413","2","100"
"167","""random""","2","3950","17.647058823529413","5","32.35294117647059","4","0","1","0"
"168","""random""","2","5422","32.35294117647059","5","64.70588235294117","4","91.17647058823529","3","100"
"166","""random""","2","10992","11.764705882352942","7","8.823529411764707","4","8.823529411764707","4","0"
"165","""random""","2","16305","2.9411764705882355","6","0","3","11.764705882352942","4","0"
"171","""random""","2","1808","20.58823529411765","6","0","1","0","1","0"
"170","""random""","2","8274","29.41176470588235","5","52.94117647058823","3","70.58823529411765","2","100"
"172","""random""","2","9546","8.823529411764707","6","23.529411764705884","4","8.823529411764707","4","100"
"174","""random""","2","7166","0","3","8.823529411764707","4","8.823529411764707","4","0"
"173","""random""","2","13381","11.764705882352942","4","20.58823529411765","3","8.823529411764707","3","0"
"169","""random""","2","24316","20.58823529411765","5","29.41176470588235","4","32.35294117647059","3","0"
"176","""random""","2","8751","11.764705882352942","7","11.764705882352942","5","55.88235294117647","3","100"
"175","""random""","2","11816","11.764705882352942","6","2.9411764705882355","4","20.58823529411765","3","0"
"178","""random""","2","3383","64.70588235294117","5","67.6470588235294","3","100","1","100"
"177","""random""","2","11242","47.05882352941177","4","61.76470588235294","3","61.76470588235294","3","100"
"181","""random""","2","5187","5.882352941176471","5","14.705882352941176","4","17.647058823529413","2","0"
"180","""random""","2","8474","11.764705882352942","6","32.35294117647059","5","50","3","100"
"184","""random""","2","10854","23.529411764705884","7","26.470588235294116","4","76.47058823529412","3","0"
"183","""random""","2","15607","5.882352941176471","6","5.882352941176471","4","11.764705882352942","3","0"
"185","""random""","2","8138","5.882352941176471","9","17.647058823529413","4","67.6470588235294","2","100"
